,Unnamed: 0,KEMENTERIAN/LEMBAGA,SUMBER DANA,PROGRAM,FUNGSI,OUTPUT (KRO),JENIS BELANJA,AKUN 4 DIGIT,REALISASI BELANJA KL (KRO),Nilai,PAGU DIPA REVISI,BLOKIR DIPA REVISI,PAGU DIPA AWAL,BLOKIR DIPA AWAL,Tahun
47101,47101,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5785 EBA Layanan Dukungan Manajemen Internal,53 BELANJA MODAL,5321 Belanja Modal Peralatan dan Mesin,2372052000.0,2372052000.0,2381668000.0,0.0,1500000000.0,1500000000.0,2022
47102,47102,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5785 EBA Layanan Dukungan Manajemen Internal,53 BELANJA MODAL,5361 Belanja Modal Fisik Lainnya,,0.0,,,,,2022
47103,47103,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,12518415525.0,12518415525.0,12691306000.0,0.0,10403489000.0,0.0,2022
47104,47104,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,7146027897.0,7146027897.0,7311227000.0,0.0,6627255000.0,0.0,2022
47105,47105,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5218 Belanja Barang Persediaan,,0.0,,,185000000.0,0.0,2022
47106,47106,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,9314771521.0,9314771521.0,9589411000.0,0.0,10578315000.0,0.0,2022
47107,47107,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5231 Belanja Pemeliharaan,1226604375.0,1226604375.0,1244859000.0,0.0,1228751000.0,0.0,2022
47108,47108,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,5651159548.0,5764387365.0,5844168000.0,0.0,5860351000.0,0.0,2022
47109,47109,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBA Layanan Dukungan Manajemen Internal,53 BELANJA MODAL,5321 Belanja Modal Peralatan dan Mesin,620388442.0,620388442.0,633103000.0,0.0,,,2022
47110,47110,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBA Layanan Dukungan Manajemen Internal,53 BELANJA MODAL,5361 Belanja Modal Fisik Lainnya,651218350.0,651218350.0,661897000.0,0.0,500000000.0,0.0,2022
47111,47111,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,730260300.0,730260300.0,752700000.0,0.0,857700000.0,0.0,2022
47112,47112,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,624829000.0,624829000.0,728200000.0,0.0,681100000.0,0.0,2022
47113,47113,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5218 Belanja Barang Persediaan,249955300.0,249955300.0,252526000.0,0.0,128976000.0,0.0,2022
47114,47114,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5221 Belanja Jasa,973994500.0,973994500.0,1009077000.0,0.0,1073677000.0,0.0,2022
47115,47115,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5786 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,315226173.0,325461397.0,343385000.0,0.0,531445000.0,0.0,2022
47116,47116,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5787 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,520128450.0,526479700.0,526482000.0,0.0,596822000.0,0.0,2022
47117,47117,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5787 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,1237620000.0,1237620000.0,1240531000.0,0.0,1597657000.0,0.0,2022
47118,47118,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5787 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,402906660.0,402906660.0,403696000.0,0.0,252700000.0,0.0,2022
47119,47119,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5787 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5231 Belanja Pemeliharaan,9044750.0,9044750.0,9045000.0,0.0,10000000.0,0.0,2022
47120,47120,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5787 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,1423707148.0,1447191906.0,1448184000.0,0.0,1497759000.0,0.0,2022
47121,47121,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5788 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,396780700.0,396780700.0,403184000.0,0.0,752616000.0,0.0,2022
47122,47122,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5788 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,2765256295.0,2766801295.0,2795575000.0,0.0,3920175000.0,0.0,2022
47123,47123,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5788 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,5612791188.0,5612791188.0,5637138000.0,0.0,6599440000.0,0.0,2022
47124,47124,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5788 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5231 Belanja Pemeliharaan,,0.0,,,63600000.0,0.0,2022
47125,47125,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5788 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,4521397238.0,4582292260.0,4597857000.0,0.0,4338749000.0,0.0,2022
47126,47126,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5788 EBA Layanan Dukungan Manajemen Internal,53 BELANJA MODAL,5361 Belanja Modal Fisik Lainnya,323953500.0,323953500.0,325000000.0,0.0,,,2022
47127,47127,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,72424194883.0,72424194883.0,72809371000.0,0.0,83341784000.0,0.0,2022
47128,47128,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,9523422452.0,9523422452.0,9871071000.0,0.0,8815890000.0,0.0,2022
47129,47129,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5218 Belanja Barang Persediaan,74587811122.0,74587811122.0,74678692000.0,0.0,50611079000.0,0.0,2022
47130,47130,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,16774011714.0,16774011714.0,16878575000.0,0.0,13879666000.0,0.0,2022
47131,47131,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5231 Belanja Pemeliharaan,24231375786.0,24231375786.0,24473012000.0,0.0,15695377000.0,0.0,2022
47132,47132,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,4502191081.0,4599313085.0,4647076000.0,0.0,961966000.0,0.0,2022
47133,47133,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBB Layanan Sarana dan Prasarana Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,70207500.0,70207500.0,87500000.0,0.0,37500000.0,0.0,2022
47134,47134,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBB Layanan Sarana dan Prasarana Internal,53 BELANJA MODAL,5321 Belanja Modal Peralatan dan Mesin,77824353077.0,77824353077.0,77895616000.0,0.0,82459977000.0,0.0,2022
47135,47135,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5791 EBB Layanan Sarana dan Prasarana Internal,53 BELANJA MODAL,5361 Belanja Modal Fisik Lainnya,289155000.0,289155000.0,291000000.0,0.0,8092000000.0,0.0,2022
47136,47136,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5792 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,416973000.0,416973000.0,419382000.0,0.0,580765000.0,0.0,2022
47137,47137,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5792 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,83884960.0,83884960.0,83900000.0,0.0,65200000.0,0.0,2022
47138,47138,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5792 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,1141954587.0,1158882115.0,1158902000.0,0.0,1519745000.0,0.0,2022
47139,47139,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5792 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,155445000.0,155445000.0,157758000.0,0.0,133340000.0,0.0,2022
47140,47140,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5792 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5221 Belanja Jasa,40500000.0,40500000.0,46800000.0,0.0,139300000.0,0.0,2022
47141,47141,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5792 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,834814250.0,873985500.0,876366000.0,0.0,991650000.0,0.0,2022
47142,47142,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5793 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,631540000.0,631540000.0,631540000.0,0.0,610350000.0,0.0,2022
47143,47143,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5793 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,1285026222.0,1285026222.0,1285028000.0,0.0,1241789000.0,0.0,2022
47144,47144,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5793 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,281687000.0,281687000.0,281687000.0,0.0,362460000.0,0.0,2022
47145,47145,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5793 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,1594428776.0,1611967316.0,1611968000.0,0.0,1121181000.0,0.0,2022
47146,47146,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5793 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5242 Belanja Perjalanan Dinas Luar Negeri,,0.0,,,598418000.0,0.0,2022
47147,47147,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5793 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,575610030.0,575610030.0,575611000.0,0.0,485360000.0,0.0,2022
47148,47148,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5793 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5221 Belanja Jasa,50300000.0,50300000.0,50300000.0,0.0,106500000.0,0.0,2022
47149,47149,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5793 EBD Layanan Manajemen Kinerja Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,355128000.0,355128000.0,355128000.0,0.0,845204000.0,0.0,2022
47150,47150,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5794 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,681305740.0,681305740.0,682540000.0,0.0,924315000.0,0.0,2022
47151,47151,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5794 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,344256500.0,344256500.0,344623000.0,0.0,252379000.0,0.0,2022
47152,47152,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5794 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,23700000.0,23700000.0,24000000.0,0.0,61400000.0,0.0,2022
47153,47153,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5794 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,544716348.0,548026848.0,548353000.0,0.0,517944000.0,0.0,2022
47154,47154,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5794 EBC Layanan Manajemen SDM Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,2861655483.0,2861655483.0,2876346000.0,0.0,2347500000.0,0.0,2022
47155,47155,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5794 EBC Layanan Manajemen SDM Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,2235943740.0,2235943740.0,2248704000.0,0.0,6038293000.0,0.0,2022
47156,47156,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5794 EBC Layanan Manajemen SDM Internal,52 BELANJA BARANG,5221 Belanja Jasa,893866000.0,893866000.0,958666000.0,0.0,1322100000.0,0.0,2022
47157,47157,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5794 EBC Layanan Manajemen SDM Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,2682938155.0,2802178850.0,2830923000.0,0.0,2649760000.0,0.0,2022
47158,47158,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5795 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5211 Belanja Barang Operasional,17409569972.0,17409569972.0,17514835000.0,0.0,15903878000.0,0.0,2022
47159,47159,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5795 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5212 Belanja Barang Non Operasional,1239044110.0,1239044110.0,1273917000.0,0.0,1151781000.0,0.0,2022
47160,47160,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5795 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5221 Belanja Jasa,5253414042.0,5253414042.0,5431360000.0,0.0,7732925000.0,400000000.0,2022
47161,47161,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5795 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5231 Belanja Pemeliharaan,1873829100.0,1873829100.0,1893122000.0,0.0,1634508000.0,0.0,2022
47162,47162,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5795 EBA Layanan Dukungan Manajemen Internal,52 BELANJA BARANG,5241 Belanja Perjalanan Dinas Dalam Negeri,2200424006.0,2274569940.0,2311768000.0,0.0,2237532000.0,0.0,2022
47163,47163,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5795 EBA Layanan Dukungan Manajemen Internal,53 BELANJA MODAL,5321 Belanja Modal Peralatan dan Mesin,33197299670.0,33197299670.0,33204170000.0,0.0,24465630000.0,16410000000.0,2022
47164,47164,002 DEWAN PERWAKILAN RAKYAT,01 RM,002 01 WA Program Dukungan Manajemen,01 PELAYANAN UMUM,5795 EBA Layanan Dukungan Manajemen Internal,53 BELANJA MODAL,"5341 Belanja Modal Jalan, Irigasi dan Jaringan",1143918770.0,1143918770.0,1176660000.0,0.0,3139600000.0,0.0,2022
